,,BB,GA
,,,
,,BU - DOLPHIN GARAM 1KG,AT - ALAT PERKAKAS IKEA
,,CT -  TULIP BORDEAUX COCOA POWDER 5 KG,AT - BANGKU PLASTIK
,,GA - GMP GULA PASIR,AT - BOX CONTAINER 2066 BIRU
,,GA - FIS ,AT - BOX CONTAINER SAMLA 65 LITER
,,IR - BAKER'S BONUS A,"AT - BOX SET GLOVES, HAIRNET & ROLL GANTUNG"
,,IR - PURATOS S500,AT - EMBER PUTIH
,,IR - SAF INSTANT RAGI  500GR,AT - EMBER MERAH
,,IR - SAF INSTANT RAGI 10,AT - EMBER SESUAI WARNA KAIN
,,PG - PLASTIK UK. 40X60,AT - GAGANG PEL KRISBOW
,,PG - PLASTIK VACUM 12x20,AT - GAGANG PEL TORNADO MOP
,,PG - PLASTIK VACUM 15x20,AT - KAIN PEL REFIL PUTIH BULAT
,,SG - KAIN LAP,AT - KANEBO
,,SG - MASKER KN95,AT - KAPE
,,SG - NURSE CAP,"AT - KIPAS ANGIN DINDING 16"""
,,SG - PLASTIK SAMPAH 50X60,AT - KOTAK P3K
,,SG - REFILL ROLL BAJU,AT - PALLET NPK 1005S
,,SG - BATERAI ENERGIZER AA,AT - PENGKI NAGATA
,,SU - NU,AT - ROLL BAJU
,,SU - NZMP,AT - SAPU NAGATA
,,TG - CAKRA KEMBAR EMAS,AT - SAPU SARANG LABA-LABA
,,TG - KETAN ROSE BRAND,AT - SEKOP STAINLESS
,,TG - GANDUM KASAR,AT - SIGN HATI-HATI LANTAI LICIN
,,TG - GOLDEN EAGLE,AT - SIKAT CUCI NAGATA
,,TG - MAIZENAKU,AT - TIMBANGAN 30 KG
,,TG - RAP,AT - TIMBANGAN BUMBU ACIS 5 KG
,,TG - SEGITIGA,AT - TONG SAMPAH SEDANG 80 LITER
,,,AT - TUTUP BOX 2666 BIRU
,,,AT - WALL CLOCK
,,,ATK - GUNTING PRODUKSI
,,,ATK - LAKBAN BESAR
,,,ATK - PULPEN
,,,ATK - TAPE DISPENSER LAKBAN
,,,SN - PEL LANTAI LEMON 
,,,SN - RINSO BUBUK