,,Isian,,BB,,GA
,,LAPIS LEGIT (1/2 LOYANG),,KS - THERMAL 57 X 40,,AT - AKRILIK HITAM MENU & HARGA
,,LAPIS LEGIT (1LOYANG),,KS - THERMAL 80 X 80,,AT - AKRILIK KOTAK KARTU UCAPAN
,,LAPIS LEGIT (PCS),,PG - BOTOL KOPI,,AT - AKRILIK KULKAS
,,LAPIS SURABAYA (1/2 LOYANG),,PG - BOX L,,AT - ALAT PEMBERSIH KACA IKEA
,,LAPIS SURABAYA (1LOYANG),,PG - BOX XL,,AT - BANGKU PLASTIK
,,LAPIS SURABAYA (PCS),,PG - BOX XL (EVENT),,AT - BOTOL PUMP
,,ORIGINAL BOLU PISANG (1 LOYANG),,PG - BOX XXL,,AT - BOTOL SEMPROTAN
,,ORIGINAL BOLU PISANG (PCS),,PG - BUBBLE WRAP,,AT - BOX CONTAINER 2011 BIRU
,,,,PG - CUP PET 14 OZ,,AT - BOX CONTAINER 2011 HIJAU
,,,,PG - HOT CUP 8 OZ,,AT - BOX CONTAINER 2011 KUNING
,,,,PG - KABEL TIES,,AT - BOX CONTAINER 2022 BIRU
,,,,PG - KABEL TIES NAMETAG,,AT - BOX CONTAINER 2022 HIJAU
,,,,PG - KANTONG PLASTIK LOCO 24,,AT - BOX CONTAINER 2022 KUNING
,,,,PG - KANTONG PLASTIK LOCO 40,,AT - CAPITAN ROTI
,,,,PG - KANTONG PLASTIK UK. 56,,AT - CASH DRAWER
,,,,PG - KARTU UCAPAN,,AT - DISPENSER TISSU
,,,,PG - KLIP ROTI ORANGE,,AT - GAGANG PEL TORNADO MOP
,,,,PG - KLIP ROTI PUTIH,,AT - GELAS TAKAR 1 LITER
,,,,PG - KOTAK THINWALL DM 650 ml,,AT - GELAS TAKAR 250 ML
,,,,PG - LABEL ISIAN,,AT - KAIN PEL REFIL PUTIH BULAT
,,,,PG - LID CUP PET 14 OZ,,AT - LABELLER EXP TAWAR
,,,,PG - LID HOT CUP 8 OZ,,"AT - LOCK&LOCK FOOD CONTAINER 6,5 LITER"
,,,,PG - MIKA GORENGAN,,AT - LOGITECH MOUSE
,,,,PG - OPP KECIL,,AT - NAMPAN PLASTIK
,,,,PG - OPP PUTU AYU,,AT - NAMPAN TIRISAN GORENGAN
,,,,PG - OPP ROTI MANIS,,AT - PANDA CASH DRAWER
,,,,PG - OPP ROTI TAWAR,,AT - PAYUNG
,,,,PG - PAPERBAG L,,AT - PENGKI NAGATA
,,,,PG - PAPERBAG M,,AT - PRINTER PORTABEL PANDA 58MM
,,,,PG - PAPERBAG XL,,AT - RAKET NYAMUK KRISBOW
,,,,PG - REFILL LABEL EXP TAWAR,,AT - ROLL BAJU
,,,,PG - SNACK BOX M,,AT - SAPU NAGATA
,,,,PG - SNACK BOX S,,AT - SAPU SARANG LABA-LABA
,,,,PG - SPUNBOND L,,AT - SIGN BOARD POTRAIT
,,,,PG - STIKER ABON PEDAS,,AT - SIGN HATI-HATI LANTAI LICIN
,,,,PG - STIKER LOGO UK. M,,AT - SIGN OPEN & CLOSE
,,,,PRISTINE 400ML,,AT - SOAP DISPENSER KRISBOW
,,,,SG - KAIN LAP,,AT - TEMPAT PULPEN
,,,,SG - REFILL ROLL BAJU,,AT - TIMBANGAN BUMBU ACIS 5 KG
,,,,SG - SARUNG TANGAN LATEX PUTIH UK. S,,AT - WALL CLOCK
,,,,BB - ES BATU,,ATK - AMPLOP COKELAT
,,,,SR - CABE RAWIT,,ATK - AMPLOP PUTIH
,,,,SP - GULA AREN,,ATK - CUTTER JOYKO
,,,,SP - SIRUP MONIN HAZELNUT,,ATK - GUNTING KASIR
,,,,SP - SIRUP MONIN SALTED CARAMEL,,ATK - ISI CUTTER
,,,,SP - SIRUP MONIN VANILLA,,ATK - LAKBAN KECIL
,,,,SU - FRESH MILK GREENFIELDS,,ATK - MAGNET PAPAN TULIS BULAT WARNA
,,,,SG - PLASTIK SAMPAH 50X60,,ATK - NOTA BON KOSONG
,,,,SG - PLASTIK SAMPAH 80X100,,ATK - PULPEN
,,,,KI -  EAST JAVA SILHOUETTE 1KG,,ATK - SPIDOL PERMANENT G-12
,,,,,,ATK - SPIDOL WHITEBOARD ABG-12
,,,,,,ATK - STICKY NOTES
,,,,,,ATK - TAPE DISPENSER SOLATIP
,,,,,,ATK - TINTA SPIDOL WHITEBOARD
,,,,,,ATK - TUSUKAN KERTAS
,,,,,,ATK - LAKBAN BESAR
,,,,,,ATK - LAKBAN KERTAS BESAR
,,,,,,ATK - LAKBAN KERTAS KECIL
,,,,,,SN - HAND SANITIZER GEL
,,,,,,SN - HAND SANITIZER LIQUID
,,,,,,SN - KAMPER
,,,,,,SN - KAPORIT
,,,,,,SN - PEL LANTAI LEMON TOPPAS 5L
,,,,,,SN - PLEDGE REFIL
,,,,,,SN - RINSO BUBUK
,,,,,,SN - SABUN COLEK EKONOMI
,,,,,,SN - SABUN CUCI MOBIL
,,,,,,SN - SABUN CUCI TANGAN
,,,,,,SN - SABUT CUCI PIRING
,,,,,,SN - SPONS CUCI PIRING 3M
,,,,,,SN - VANISH REFILL
,,,,,,SN - VIXAL
,,,,,,SG - TISSU TOWEL
,,,,,,SG - TISSUE KOPI
,,,,,,SG - KAIN LAP
,,,,,,SG - MASKER KN95
,,,,,,SG - TALI RAFIA
,,,,,,SN - CLING REFIL
,,,,,,SN - HAND SANITIZER GEL
,,,,,,SN - PEL LANTAI LEMON TOPPAS 5L
,,,,,,SN - PLEDGE REFIL
,,,,,,ATK - LABEL TJ - 103
,,,,,,ATK - LABEL TJ - 98